Time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_MidSize_Winter_Test1,Speed_MidSize_Winter_Test2,Speed_MidSize_Winter_Test3,Speed_MidSize_Winter_Test4,Speed_MidSize_Winter_Test5,Speed_MidSize_AllSeason_Test1,Speed_MidSize_AllSeason_Test2,Speed_MidSize_AllSeason_Test3,Speed_MidSize_AllSeason_Test4,Speed_MidSize_AllSeason_Test5,Speed_MidSize_Summer_Test1,Speed_MidSize_Summer_Test2,Speed_MidSize_Summer_Test3,Speed_MidSize_Summer_Test4,Speed_MidSize_Summer_Test5,Speed_FullSize_Winter_Test1,Speed_FullSize_Winter_Test2,Speed_FullSize_Winter_Test3,Speed_FullSize_Winter_Test4,Speed_FullSize_Winter_Test5,Speed_FullSize_AllSeason_Test1,Speed_FullSize_AllSeason_Test2,Speed_FullSize_AllSeason_Test3,Speed_FullSize_AllSeason_Test4,Speed_FullSize_AllSeason_Test5,Speed_FullSize_Summer_Test1,Speed_FullSize_Summer_Test2,Speed_FullSize_Summer_Test3,Speed_FullSize_Summer_Test4,Speed_FullSize_Summer_Test5
0,-0.523,-0.29,-1.073,0.067,0.114,-0.403,-0.569,-0.311,-0.417,-0.153,-1.074,-0.47,-0.203,0.071,0.221,0.05,0.016,1.39,-0.459,-0.555,-0.062,-0.57,0.167,-0.431,-0.813,0.55,0.542,1.277,0.194,-0.228,0.348,-0.481,0.392,0.179,-0.282,0.092,0.67,-0.645,-0.555,0.193,0.405,-0.633,0.349,-0.219,0.34
0.01,0.666,-0.44,0.612,-0.285,-0.069,-0.376,-0.815,-0.63,0.277,0.28,-0.018,-0.758,-0.057,-0.523,0.044,0.343,-1.23,-0.233,0.342,-0.593,-0.397,0,-0.284,-0.869,-0.379,-1.229,0.204,-1.206,-0.205,-0.384,0.244,-0.042,NaN,0.127,0.814,0.209,-0.359,0.863,0.569,-0.224,-0.024,-0.174,-0.728,0.009,0.049
0.02,0.159,-0.777,-0.352,-0.419,-0.054,1.078,-0.604,0.519,-1.127,-0.123,-0.315,0.579,-0.503,-0.108,0.357,-0.535,0.483,0.471,-0.354,-0.405,-0.637,-0.13,-1.106,-0.129,0.729,0.092,0.647,0.003,0.977,-0.232,0.046,-0.887,-0.941,-0.016,0.21,-1.093,-0.186,0.252,0.906,0.099,0.432,-0.317,0.399,0.897,0.788
0.03,-0.966,0.095,-0.328,0.042,0.058,-0.03,-0.243,-0.476,-0.783,-0.241,-0.436,-1.616,-0.462,-0.561,-1.331,0.135,-0.413,-0.762,0.609,-0.416,-0.3,0.602,0.122,-0.102,-0.232,NaN,-0.041,-1.122,-1.012,-1.235,-0.595,-0.286,-0.422,0.407,-1.183,-0.286,-0.085,-0.897,-0.086,NaN,-0.507,-0.733,0.37,-0.993,0.094
0.04,0.784,0.403,NaN,-1.062,-0.316,0.638,0.454,-0.861,0.169,0.654,-0.121,0.196,0.862,0.915,-0.165,0.477,-0.658,-0.081,1.059,-1.008,-0.79,0.147,-1.139,0.745,0.292,0.602,0.384,-0.551,-0.489,0.171,-0.035,0.48,0.623,-1.237,-0.061,-0.021,-0.062,0.291,0.09,-0.351,0.225,-1.127,1.035,-0.746,-0.41
0.05,NaN,0.021,0.39,-0.249,0.129,-0.462,-0.831,0.588,-0.516,0.808,-0.72,-0.787,0.561,0.59,0.276,-1.376,1.056,0.203,-0.361,-0.094,-0.119,-0.26,-0.894,-0.065,-0.036,-0.364,-0.351,NaN,-0.793,0.264,-0.264,-1.383,0.054,-0.025,-1,-0.448,0.894,0.398,0.113,-0.257,0.881,0.263,-0.868,0.337,-0.167
0.06,-1.254,0.804,0.25,-0.101,0.409,0.106,-0.396,1.106,-0.469,-0.157,0.355,-0.372,0.185,-0.246,-0.246,-0.65,0.54,-0.393,-0.956,-0.739,0.018,-0.105,0.233,0.219,0.648,-0.041,0.653,0.293,-0.157,1.349,-0.383,-0.631,0.134,0.852,-0.727,-0.044,-0.222,0.436,-0.56,0.436,-0.371,-0.981,-0.453,0.418,0.276
0.07,-0.594,1.029,-0.628,-0.554,0.194,0.188,-0.817,-0.033,0.308,-0.268,0.988,0.393,-0.237,0.327,0.047,-0.873,0.703,-0.079,0.248,-0.205,-0.683,-0.082,-0.401,-0.173,NaN,0.088,-1.252,-0.039,1.033,0.229,0.717,-0.576,-0.762,-0.226,1.077,-0.356,NaN,0.938,-0.473,-0.589,0.942,0.479,0.295,0.239,-0.032
0.08,0.036,-0.463,0.47,-0.343,-0.271,0.667,-0.732,-0.971,0.263,-0.196,-0.626,-0.64,0.53,-0.578,0.913,-0.065,0.071,-0.158,-0.311,0.304,0.48,-0.672,NaN,0.431,0.456,0.474,0.063,-0.396,-0.231,1.114,NaN,-1.263,0.506,NaN,0.205,0.592,-0.182,0.578,-0.508,-0.614,0.514,-0.248,0.65,-0.51,-0.08
0.09,-0.162,0.524,-0.7,-0.923,0.612,0.818,0.888,-0.024,-0.022,-0.713,0.797,-0.083,-0.781,-0.55,0.491,0.068,0.244,0.663,-0.627,0.14,0.096,-0.187,-0.552,0.145,-0.128,-1.063,0.877,0.469,0.084,1.112,-0.243,0.407,0.786,0.028,0.555,0.463,0.107,-0.488,-0.079,-0.726,0.527,-0.345,0.79,0.265,-0.414
0.1,NaN,-0.594,0.015,-0.317,-0.441,-0.386,-0.615,0.643,0.219,-1.611,0.341,0.042,0.339,-0.204,-0.788,0.151,0.418,-0.82,-0.211,0.332,0.309,-0.139,-1.298,-0.834,-0.15,NaN,0.202,0.057,0.084,0.112,0.999,0.868,-0.237,-0.401,0.529,0.189,0.154,0.276,-0.364,-1.2,0.42,0.034,NaN,0.134,0.457
0.11,0.405,-1.205,0.289,-0.176,-1.048,0.483,0.23,-0.297,-0.148,0.786,0.531,-1.124,-0.293,-0.506,-0.304,0.417,-0.483,1.223,0.111,0.003,-0.401,0.512,-0.171,-0.139,0.045,-0.592,-1.146,-1.192,-1.124,0.152,0.091,-0.707,-0.851,-0.246,0.096,-0.901,0.217,-1.328,0.236,0.767,0.189,0.845,0.773,-0.069,-0.902
0.12,-0.927,0.016,0.195,-0.511,-0.621,0.845,-0.286,0.161,-0.836,-0.298,-0.635,0.287,-0.872,0.143,-0.463,0.215,0.018,0.535,-0.11,-0.008,0.349,-0.228,-0.851,0.044,0.094,0.276,0.395,-0.287,1.001,0.748,0.432,-0.405,-0.545,-0.09,-0.77,-0.703,0.102,-0.206,-0.181,0.02,0.38,-1.151,-1.262,-0.055,-0.48
0.13,0.077,-0.236,-0.151,-0.606,0.139,-0.444,-0.782,0.94,0.265,0.557,-0.003,-0.832,0.002,-0.516,0.147,-0.801,0.889,-0.807,0.327,-0.794,1.632,-0.584,-0.32,-0.231,0.521,0.528,-0.49,-1.176,0.269,-1.271,-0.234,-1.245,-1.191,-0.113,0.567,0.057,-0.082,-1.415,-0.552,0.326,0.157,-0.165,0.359,0.473,0.104
0.14,-0.021,0.501,-0.027,0.619,0.546,0.082,0.62,0.872,-0.439,-0.681,-0.26,0.859,-0.117,-0.173,1.347,0.695,-0.121,-0.035,-0.256,0.299,-0.848,0.631,-0.473,-0.104,-0.88,-0.592,-0.359,0.354,0.808,0.201,-0.404,-0.592,-0.747,0.258,-0.14,-0.44,NaN,-1.433,-0.371,0.151,-0.355,0.002,-0.036,-0.074,-0.515
